implementation,protocol_name,security_label,enc_scheme,enc_modulus_bits,curve_security_bits,enc_security_bits,overall_security_bits,n,t,signers,setup_mean_ms,dkg_or_keygen_mean_ms,sign_mean_ms,sign_stddev_ms,verify_mean_ms,throughput_sig_per_sec,bandwidth_total_bytes,bandwidth_per_party_bytes,sig_bytes,ec_pubkey_bytes,ec_share_bytes,enc_pubkey_bytes,enc_share_bytes,enc_ciphertext_bytes,all_signatures_valid,git_commit,notes
tr-ecdsa,"TR-ECDSA (3-round, CL-HSM)",112,CL_HSMqk,,112,112,112,10,5,6,140.179292,87.3524585,4488.87418,36.1946458,0.341281125,0.222773007,27936,4656,56,29,28,226,77,450,True,76ca73f,
tr-ecdsa,"TR-ECDSA (3-round, CL-HSM)",112,CL_HSMqk,,112,112,112,3,1,2,137.886458,31.150292,648.640203,14.7046511,0.12636975,1.54168674,9315,4657.5,56,29,28,224,74,450,True,76ca73f,
tr-ecdsa,"TR-ECDSA (3-round, CL-HSM)",112,CL_HSMqk,,112,112,112,3,2,3,137.307187,31.733583,1301.17528,7.06006417,0.187604375,0.768535965,13961,4653.66667,56,29,28,224,74,450,True,76ca73f,
tr-ecdsa,"TR-ECDSA (3-round, CL-HSM)",112,CL_HSMqk,,112,112,112,5,2,3,142.296042,48.261833,1298.1413,4.92406684,0.203499875,0.770332165,13976,4658.66667,56,29,28,224,75,450,True,76ca73f,
tr-ecdsa,"TR-ECDSA (3-round, CL-HSM)",112,CL_HSMqk,,112,112,112,5,4,5,136.615146,46.825417,3170.01231,20.5556169,0.29323425,0.315456188,23298,4659.6,56,29,28,224,75,450,True,76ca73f,
tr-ecdsa,"TR-ECDSA (3-round, CL-HSM)",128,CL_HSMqk,,128,128,128,10,5,6,281.080708,154.584791,7401.99949,60.1939973,0.2919115,0.135098631,35925,5987.5,64,33,32,292,107,585,True,76ca73f,
tr-ecdsa,"TR-ECDSA (3-round, CL-HSM)",128,CL_HSMqk,,128,128,128,3,1,2,294.547021,59.8069375,1113.07194,11.5222454,0.10260925,0.898414529,11977,5988.5,64,33,32,292,105,585,True,76ca73f,
tr-ecdsa,"TR-ECDSA (3-round, CL-HSM)",128,CL_HSMqk,,128,128,128,3,2,3,282.200708,57.5471255,2226.17649,6.35291694,0.156323,0.449200682,17961,5987,64,33,32,292,105,585,True,76ca73f,
tr-ecdsa,"TR-ECDSA (3-round, CL-HSM)",128,CL_HSMqk,,128,128,128,5,2,3,281.016271,87.013687,2190.92038,6.38280882,0.15495825,0.456429183,17955,5985,64,33,32,293,105,585,True,76ca73f,
tr-ecdsa,"TR-ECDSA (3-round, CL-HSM)",128,CL_HSMqk,,128,128,128,5,4,5,280.125562,85.0614585,5303.37444,36.8598276,0.244578,0.188559192,29937,5987.4,64,33,32,293,105,585,True,76ca73f,
tss-lib,"GG18 (9-round, Paillier)",secp256k1,Paillier,2048,128,112,112,10,5,6,3986.517504200001,11283.249667,1064.5119636250001,15.780007092730303,0.16963562499999998,0.9393976152176661,284820,47470,64,33,32,256,256,512,True,3f677ff,
tss-lib,"GG18 (9-round, Paillier)",secp256k1,Paillier,2048,128,112,112,3,1,2,4198.4595973333335,2074.9847090000003,161.456151125,1.7274771615419755,0.168994625,6.193632097830674,21414,10707,64,33,32,256,256,512,True,3f677ff,
tss-lib,"GG18 (9-round, Paillier)",secp256k1,Paillier,2048,128,112,112,3,2,3,3334.269375,2094.164125,264.58903125,7.574272761962947,0.169755,3.7794461670451427,59692,19897.333333333332,64,33,32,256,256,512,True,3f677ff,
tss-lib,"GG18 (9-round, Paillier)",secp256k1,Paillier,2048,128,112,112,5,2,3,,,271.260552125,8.32708793273694,0.16097925,3.6864925333455356,59691,19897,64,33,32,256,256,512,True,3f677ff,setup and keygen timing skipped: precomputed fixtures used (see SCHEMA.md caveat 8)
tss-lib,"GG18 (9-round, Paillier)",secp256k1,Paillier,2048,128,112,112,5,4,5,2733.7706582,3822.7108749999998,756.7228856250001,10.814392330370795,0.16537512499999998,1.3214877189475642,191395,38279,64,33,32,256,256,512,True,3f677ff,
